Game Date,Location,Neutral Game,Conference Game,Postseason Game,NCAA Tourney Game,Matchup,Home Team,Home Rk,Home Score,Away Team,Away Rk,Away Score,Home W,Home Pt Diff
2021-03-01,@ Alabama State,0,1,0,0,Prairie View A&M vs. Alabama State,Alabama State,341.0,67,Prairie View A&M,241.0,70,0,-3
2021-03-04,@ Grambling State,0,1,0,0,Alabama State vs. Grambling State,Grambling State,275.0,91,Alabama State,341.0,68,1,23
2021-03-06,@ Jackson State,0,1,0,0,Alabama State vs. Jackson State,Jackson State,342.0,79,Alabama State,341.0,54,1,25
2020-12-19,@ Albany (NY),0,1,0,0,UMBC vs. Albany (NY),Albany (NY),342.0,64,UMBC,321.0,65,0,-1
2020-12-20,@ Albany (NY),0,1,0,0,UMBC vs. Albany (NY),Albany (NY),63.0,60,UMBC,261.0,65,0,-5
2020-12-22,@ Albany (NY),0,0,0,0,Niagara vs. Albany (NY),Albany (NY),153.0,65,Niagara,297.0,70,0,-5
2021-01-02,@ Vermont,0,1,0,0,Albany (NY) vs. Vermont,Vermont,175.0,62,Albany (NY),155.0,63,0,-1
2021-01-03,@ Vermont,0,1,0,0,Albany (NY) vs. Vermont,Vermont,225.0,74,Albany (NY),227.0,66,1,8
2021-01-09,@ Saint Joseph's,0,0,0,0,Albany (NY) vs. Saint Joseph's,Saint Joseph's,143.0,67,Albany (NY),226.0,64,1,3
2021-01-16,@ Albany (NY),0,1,0,0,NJIT vs. Albany (NY),Albany (NY),108.0,83,NJIT,196.0,75,1,8
2021-01-17,@ Albany (NY),0,1,0,0,NJIT vs. Albany (NY),Albany (NY),119.0,83,NJIT,196.0,71,1,12
2021-01-23,@ New Hampshire,0,1,0,0,Albany (NY) vs. New Hampshire,New Hampshire,126.0,71,Albany (NY),119.0,64,1,7
2021-01-24,@ New Hampshire,0,1,0,0,Albany (NY) vs. New Hampshire,New Hampshire,166.0,64,Albany (NY),96.0,83,0,-19
2021-02-20,@ Albany (NY),0,1,0,0,Stony Brook vs. Albany (NY),Albany (NY),81.0,43,Stony Brook,239.0,59,0,-16
2021-02-21,@ Albany (NY),0,1,0,0,Stony Brook vs. Albany (NY),Albany (NY),120.0,67,Stony Brook,217.0,59,1,8
2021-02-27,Neutral,1,0,1,0,NJIT vs. Albany (NY),Albany (NY),101.0,76,NJIT,228.0,66,1,10
2021-02-28,@ Hartford,0,0,1,0,Albany (NY) vs. Hartford,Hartford,247.0,83,Albany (NY),102.0,77,1,6
2020-12-20,@ Houston,0,0,0,0,Alcorn State vs. Houston,Houston,1.0,88,Alcorn State,126.0,55,1,33
2020-12-22,@ Liberty,0,0,0,0,Alcorn State vs. Liberty,Liberty,138.0,108,Alcorn State,88.0,65,1,43
2020-12-27,@ Vanderbilt,0,0,0,0,Alcorn State vs. Vanderbilt,Vanderbilt,220.0,87,Alcorn State,119.0,59,1,28
2020-12-30,@ Baylor,0,0,0,0,Alcorn State vs. Baylor,Baylor,29.0,105,Alcorn State,214.0,76,1,29
2021-01-12,@ Grambling State,0,1,0,0,Alcorn State vs. Grambling State,Grambling State,330.0,79,Alcorn State,185.0,74,1,5
2021-01-16,@ Alcorn State,0,1,0,0,Mississippi Valley State vs. Alcorn State,Alcorn State,188.0,71,Mississippi Valley State,342.0,59,1,12
2021-01-18,@ Alcorn State,0,1,0,0,Arkansas-Pine Bluff vs. Alcorn State,Alcorn State,257.0,82,Arkansas-Pine Bluff,337.0,48,1,34
2021-01-30,@ Alcorn State,0,1,0,0,Southern vs. Alcorn State,Alcorn State,279.0,59,Southern,299.0,76,0,-17
2021-02-06,@ Alcorn State,0,1,0,0,Jackson State vs. Alcorn State,Alcorn State,307.0,66,Jackson State,338.0,74,0,-8
2021-02-08,@ Alcorn State,0,1,0,0,Grambling State vs. Alcorn State,Alcorn State,327.0,62,Grambling State,328.0,67,0,-5
2021-02-13,@ Mississippi Valley State,0,1,0,0,Alcorn State vs. Mississippi Valley State,Mississippi Valley State,344.0,56,Alcorn State,325.0,70,0,-14
2021-02-27,@ Southern,0,1,0,0,Alcorn State vs. Southern,Southern,324.0,89,Alcorn State,334.0,75,1,14
2021-03-04,@ Texas Southern,0,1,0,0,Alcorn State vs. Texas Southern,Texas Southern,311.0,80,Alcorn State,323.0,78,1,2
2021-03-06,@ Prairie View A&M,0,1,0,0,Alcorn State vs. Prairie View A&M,Prairie View A&M,209.0,81,Alcorn State,309.0,69,1,12
2021-03-11,Neutral,1,0,1,0,Texas Southern vs. Alcorn State,Alcorn State,319.0,55,Texas Southern,322.0,78,0,-23
